city,mean_radiance,max_radiance
Dhaka,19.83028363255233,63.0
Chittagong,21.465395900126296,62.5
Khulna,11.830493908601806,58.5
Rajshahi,12.199942009180923,58.0
Sylhet,13.397950315885762,58.0
Rangpur,10.997693327541807,54.0
Barishal,10.374296332980457,49.5
Comilla,14.46284542304583,49.5
Gazipur,13.394444387573609,61.0
Narayanganj,28.703494952761538,62.0
