class_name,area_km2
Water,4203.732214334319
Very Low Density,23391.394880119882
Low Density Rural,17579.458317892924
Rural Cluster,483.2699584463235
Suburban,68642.61897983504
Semi-Dense Urban,441.27320220955886
Dense Urban,8414.675520049264
Urban Centre,16605.024330822558
