year,built_area_km2
1975,1.7551551647058827
1985,4.073472843137256
1990,5.747868129411764
1995,7.365712572549021
2000,9.154003647058818
2005,10.494368627450976
2010,11.98149419999999
2015,13.35332789803922
2020,13.823720356862742
