year,built_area_km2
1975,87.4820249803922
1985,117.00569950980397
1990,136.42635777254895
1995,149.3139344039215
2000,163.12707351372555
2005,175.7373346235294
2010,189.54907590980392
2015,202.2012268000002
2020,207.78961453725506
