year,built_area_km2
1975,24.60880354117647
1985,31.09997
1990,35.491376623529405
1995,39.39405917254898
2000,43.52565738431372
2005,46.05091375294115
2010,48.78251269019604
2015,51.20480315686273
2020,51.853504831372554
