year,built_area_km2
1975,1.406219458823529
1985,2.3105815450980387
1990,2.9309375372549007
1995,3.676860231372549
2000,4.472676929411764
2005,5.191719156862744
2010,6.07835994117647
2015,7.2538859333333345
2020,9.464868823529414
