year,built_area_km2
1975,62.170868701960764
1985,81.53611640392154
1990,94.49949752549009
1995,102.70574800392153
2000,111.60549174117634
2005,119.79903839999993
2010,128.8843055372547
2015,137.26204654117635
2020,141.08426398039228
