year,built_area_km2
1975,21.089407701960774
1985,27.288179768627433
1990,31.114006772549036
1995,34.614046098039225
2000,38.2876471411765
2005,40.704057596078414
2010,43.22506292941177
2015,45.41442035686274
2020,46.20079416078433
