year,built_area_km2
1975,13.991635474509799
1985,22.852692623529425
1990,29.137039882352948
1995,33.13422994901959
2000,37.47391774901957
2005,42.33683871764708
2010,47.6392218039216
2015,52.42939678823531
2020,54.15805552156864
