year,built_area_km2
1975,6.991507521568629
1985,9.051363713725493
1990,10.405885850980392
1995,12.003706847058826
2000,13.850676384313726
2005,15.494802682352942
2010,17.436521176470592
2015,19.410476101960782
2020,20.683396211764695
