year,area_km2
1990,418.9701740606047
1993,0.0
1996,210.8014735747153
1999,31.557276365781536
2002,742.5495700311806
2005,735.9649303501267
2008,690.5691806440894
2011,723.9529753584646
2014,207.22724811974714
2017,759.2578148644573
2020,678.2209061808866
2023,929.9846693520362
