year,area_km2
1993,20.742870589905497
1996,89.49467912340164
1999,40.35801568673311
2002,38.08315305846113
2005,39.48331228539823
2008,60.72801407818289
2011,32.64219297598495
2014,46.16009515334089
2017,40.537032356201664
2020,74.25307825930342
2023,35.371762509944666
