haor,period1_avg_km2,period2_avg_km2,change_km2,change_pct
Tanguar Haor,,,,
Hakaluki Haor,,,,
Hail Haor,,,,
Shanir Haor,,,,
Dekar Haor,,,,
Chalan Beel,,,,
Barind Tract Beels,,,,
Arial Beel,,,,
Beel Dakatia,,,,
Meghna Floodplain,,,,
Padma Char,,,,
Mohanganj Haor,,,,
Teesta Floodplain,,,,
Bangali River Wetlands,,,,
Sundarbans East,,,,
Sundarbans West,,,,
Nijhum Dwip,,,,
Sonadia Island,,,,
Teknaf Wetlands,,,,
