year,area_km2
1990,160.81679445090427
1993,143.15219610395204
1996,169.59177478919688
1999,105.86759712849661
2002,109.15157350721476
2005,100.93047597184729
2008,168.41570824066446
2011,152.0084054736089
2014,113.9106053147076
2017,154.75620437423143
2020,126.62611317791703
2023,102.46481480085521
