year,area_km2
1990,114.26231894763312
1993,48.109275130426305
1996,89.84430620817464
1999,26.932844299489688
2002,87.30018033429032
2005,17.669897924801564
2008,108.0110364376106
2011,125.25430437839259
2014,128.75231488207208
2017,127.34794760951613
2020,73.16892987797232
2023,130.89715429192958
