year,area_km2
1990,186.02731040122404
1993,228.8257306711369
1996,177.4958680040892
1999,59.54327171603087
2002,52.890346141665226
2005,108.45525351472052
2008,170.83808071032905
2011,149.5428257395633
2014,27.90929627578818
2017,121.74180218230848
2020,77.6891153169532
2023,58.346130465000755
