year,area_km2
1990,72.9353442754271
1993,0.0
1996,40.10867364670049
1999,40.856020096021915
2002,76.30386608431647
2005,26.158651856722
2008,86.0818968248094
2011,72.91725084920635
2014,51.1766065287753
2017,3.4962786956796674
2020,33.589673767033595
2023,46.76965766927106
