year,mean,max,median
2019,3.280040251300868e-05,0.00020115211577636898,2.9105714330056108e-05
2020,3.384139142112517e-05,0.0002405317662636846,2.9064761522631753e-05
2021,4.251946803240557e-05,0.00030805612854792027,3.5356879230753983e-05
2022,4.213439324516584e-05,0.00029230068770804156,3.5293058343637676e-05
2023,4.03923129224287e-05,0.00023490918203656185,3.575438820737614e-05
2024,3.669732306058762e-05,0.00019955574132395402,3.386267355863852e-05
