city,mean,max
Dhaka,0.00015612713100855306,0.0002870854671065731
Chittagong,0.00012100261916460113,0.00021879018756086691
Khulna,0.0001540140587080715,0.0002493415301006364
Rajshahi,0.00014362141488900753,0.0001943644757141276
Sylhet,9.276091051783692e-05,0.0002048699209909895
Rangpur,0.00010199947534469614,0.00020886740394382124
Barishal,0.00013859193001059797,0.00019285680556921944
Comilla,9.318394534103243e-05,0.0001360755748040662
Gazipur,0.00017485244896972332,0.0002870854671065731
Narayanganj,0.00015643226514854323,0.00022778818116444148
