year,dry_area_km2,monsoon_area_km2,seasonal_area_km2
1990,1176.3088545410376,3826.4551048814583,2650.146250340421
1995,759.9098895202036,2037.7556042725114,1277.8457147523077
2000,1384.5814218596274,3286.759053393211,1902.1776315335837
2005,1117.0319882580286,1218.871358246004,101.83936998797549
2010,818.7187984761408,3459.422082706503,2640.703284230362
2015,527.7362010268318,3621.5348099327366,3093.798608905905
2020,694.967879377492,2615.6504715504925,1920.6825921730006
