year,monsoon_precip_mm
1990,1183.1113745804228
1992,910.178482753916
1994,990.0261857120162
1996,1241.9085161396397
1998,1272.4454989851342
2000,1155.0555474795033
2002,1489.5159987893705
2004,1704.0966951074488
2006,1129.2534391634492
2008,1184.0374987790021
2010,1092.0138441973395
2012,1121.2574033870774
2014,1250.5239039489238
2016,1141.4371657388363
2018,1056.637950117198
2020,1281.5926697085151
2022,1024.8239214779253
2024,1388.549805450355
