year,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare,snow_and_ice
2016,0.12945799919552223,0.19421920234113893,0.05774208223452615,0.08115003605714677,0.12992144449543472,0.07542684875761417,0.1989598010030866,0.06646984350588987,0.05278977920078022
2017,0.1380429526538887,0.2049816328915329,0.05597134148011408,0.08048304730720543,0.1276316916625048,0.0781810380110167,0.1597086372404422,0.08059300832647734,0.062202796502747994
2018,0.11575184771647454,0.17209126182202608,0.055581740138753805,0.06473976971201781,0.1649382637087663,0.07170943645854524,0.2175645286134442,0.0693968534342034,0.05520146719942145
2019,0.11242357195783372,0.15087805541960633,0.05515317580451936,0.06097984868680174,0.18303874655336627,0.06480792406462826,0.2585577503872487,0.055808150359216595,0.04477518577718869
2020,0.12739687255511145,0.15345370486146756,0.05343305207092568,0.06542987418817693,0.14497478402111363,0.07022077816120996,0.2188828794639877,0.07685897259268408,0.07686224431614384
2021,0.1205029959589628,0.16089140233369645,0.05135428694384342,0.06432186423160505,0.1437600524573704,0.06753770960800803,0.23204577681901856,0.07568734120385345,0.07163979712133807
2022,0.12413617655816171,0.16548814135844972,0.05340554552635227,0.06753805580707357,0.13246429940631446,0.0642222765888922,0.23371652673707885,0.07217286952041763,0.07358147332951354
2023,0.1195093118583755,0.14667419973002332,0.05063176368122314,0.057770299416967895,0.15195369396586234,0.06603928015819457,0.2566022636716881,0.07499611388042315,0.06385659322474849
2024,0.109887339016053,0.16279181628077133,0.05461783231980903,0.05821113968107922,0.13975507821594152,0.07130271562171507,0.25316901284150145,0.07124798413435161,0.06620490413824552
