year,built_area_km2
1975,9.007763713725486
1985,10.379338176470585
1990,11.170593847058818
1995,12.214009952941174
2000,13.268616219607841
2005,13.769478933333335
2010,14.284046701960785
2015,14.718162670588235
2020,14.798422905882354
