year,built_area_km2
1975,0.5502295921568626
1985,1.3910037215686277
1990,2.170314937254902
1995,2.375806513725492
2000,2.626279619607844
2005,2.981023043137254
2010,3.43911217254902
2015,3.9319494078431383
2020,4.308322254901959
