year,built_area_km2
1975,2.6315227725490185
1985,4.89078805882353
1990,6.333849725490193
1995,7.211173490196075
2000,8.143722501960783
2005,9.80463263529413
2010,11.667358639215687
2015,13.26787674509803
2020,13.5521649490196
