year,built_area_km2
1975,0.3787894039215686
1985,0.8120119372549018
1990,1.1395617882352942
1995,1.3686982509803913
2000,1.6314804666666662
2005,1.8594139921568629
2010,2.1446701686274503
2015,2.4597544156862727
2020,2.7414494784313725
