period,new_construction_km2,demolished_km2
2016-2017,14.404612472353707,87.32286439559198
2017-2018,166.1508006029489,2.8359018997127765
2018-2019,94.57658595816108,12.497228698674942
2019-2020,39.49286893381589,73.77671870979624
2020-2021,78.64134976465614,26.899368835466447
2021-2022,48.711816843815086,49.46890308812805
2022-2023,96.44749355542282,18.590310933769914
2023-2024,40.44803715071996,72.88832477197073
