year,built_area_km2
1975,0.746925874509804
1985,1.3390211019607843
1990,1.7948139019607834
1995,2.2352275215686266
2000,2.7061313411764707
2005,2.930098764705885
2010,3.167319317647058
2015,3.375356290196077
2020,3.4067624980392144
