year,mean_ndvi,max_ndvi
2000,0.46262737170288776,0.7177076623778976
2002,0.47543989243700413,0.7271268405303472
2004,0.4582504315435977,0.717045426007459
2006,0.49918261104309636,0.747558032795429
2008,0.4793640013362971,0.7325319332343961
2010,0.4765806670240432,0.7483161475708829
2012,0.4943630355461632,0.7546068411535597
2014,0.504842990204669,0.7589340428466899
2016,0.5233159318430441,0.7758552043607375
2018,0.519170158377188,0.7657218907819491
2020,0.5264746589404482,0.780306505508215
2022,0.5361762425782803,0.7781974843349285
2024,0.5296292037715452,0.7847623689367677
