year,loss_km2
2001,0.0630868296508789
2002,0.048365461486816405
2003,0.017220547912597656
2004,0.05245577032470703
2005,0.04998367413330078
2006,0.10316447216509651
2007,0.13545650362261605
2008,0.14320608432329965
2009,0.021309420104980468
2010,0.24991946453857422
2011,0.1276122323203891
2012,0.06316065194259345
2013,0.0
2014,0.00081911279296875
2015,0.0
2016,0.0
2017,0.0
2018,0.0
2019,0.0
2020,0.0
2021,0.0032757914428710936
2022,0.0
2023,0.0016379261474609374
