year,pre_monsoon_ndvi,monsoon_ndvi,post_monsoon_ndvi,winter_ndvi
2005,0.5039954008198437,0.3980143945799511,0.48984160139113714,0.4246532944512485
2010,0.45819608892968283,0.44280374897873215,0.5096564771686384,0.41622944044207544
2015,0.5094161549505071,0.3677986574394027,0.4877738694433103,0.4446359510041904
2020,0.5225666654898963,0.4436222145215315,0.5213653245844398,0.44319463263693015
2023,0.5107611671361567,0.45459614559895795,0.5166819690517761,0.47312510588896006
